scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
C_MAS_FL_LLM,3,size_only,0.0005,20,0.9996355,3592900.2,2944168.5,-0.9996355,0.40304422,-2.0376415252685547,0.9997039,3904434.5,2982332.8,-1.3955259323120117,42
C_MAS_FL_LLM,4,size_only,0.0005,20,0.99926466,3590606.5,2942533.0,-0.99926466,0.4027869,-2.033764123916626,0.9993229,3902495.5,2980838.0,-1.3931472301483154,42
C_MAS_FL_LLM,5,size_only,0.0005,20,0.99844897,3585802.2,2939066.8,-0.99844897,0.402248,-2.025651216506958,0.998415,3898388.0,2977550.5,-1.3881120681762695,42
C_MAS_FL_LLM,6,size_only,0.0005,20,0.9970632,3578686.2,2933673.0,-0.9970632,0.40144974,-2.0136544704437256,0.9969649,3892434.2,2972505.8,-1.3808233737945557,42
C_MAS_FL_LLM,7,size_only,0.0005,20,0.9949414,3567884.0,2925449.8,-0.9949414,0.40023795,-1.9954886436462402,0.9945248,3881104.2,2963650.5,-1.366983413696289,42
C_MAS_FL_LLM,8,size_only,0.0005,20,0.9908705,3546948.5,2909636.0,-0.9908705,0.39788944,-1.9604380130767822,0.9895293,3859341.8,2946044.8,-1.340512990951538,42
C_MAS_FL_LLM,9,size_only,0.0005,20,0.985918,3524473.8,2892103.2,-0.985918,0.39536828,-1.9230399131774902,0.98357975,3835313.8,2926144.2,-1.311460018157959,42
C_MAS_FL_LLM,10,size_only,0.0005,20,0.9764896,3484189.5,2860996.0,-0.9764896,0.39084926,-1.8566019535064697,0.97398454,3793007.5,2892525.2,-1.260746955871582,42
C_MAS_FL_LLM,11,size_only,0.0005,20,0.9579344,3425417.8,2813084.0,-0.9579344,0.3842564,-1.7610435485839844,0.95837736,3729228.5,2841058.0,-1.1853580474853516,42
C_MAS_FL_LLM,12,perf_only,0.0005,20,0.9383174,3357509.2,2755141.2,-0.9383174,0.37663853,-1.6526541709899902,0.93935204,3661629.2,2782848.0,-1.1068487167358398,42
C_MAS_FL_LLM,13,perf_only,0.0005,20,0.91135335,3257334.8,2670338.0,-0.91135335,0.36540118,-1.4967265129089355,0.91499776,3566881.0,2703894.0,-0.9992257356643677,42
C_MAS_FL_LLM,14,perf_only,0.0005,20,0.8733708,3148164.8,2570185.2,-0.8733708,0.3531547,-1.3321747779846191,0.88056517,3458605.5,2608589.2,-0.8796918392181396,42
C_MAS_FL_LLM,15,perf_only,0.0005,20,0.8233449,2988105.2,2422120.2,-0.81308573,0.33519956,-1.101057767868042,0.82512367,3312261.8,2468679.2,-0.7239866256713867,42
C_MAS_FL_LLM,16,perf_only,0.0005,20,0.75729567,2785940.8,2230806.0,-0.74541163,0.31252116,-0.8263750076293945,0.7598402,3148353.5,2304775.8,-0.5575844049453735,42
C_MAS_FL_LLM,17,perf_only,0.0005,20,0.67696756,2551020.2,1997684.6,-0.6339499,0.28616825,-0.5313483476638794,0.65392774,2913345.2,2057321.6,-0.33373188972473145,42
C_MAS_FL_LLM,18,perf_only,0.0005,20,0.54497904,2273491.2,1700610.0,-0.5130901,0.2550356,-0.21627771854400635,0.53060156,2649758.8,1774282.0,-0.10330939292907715,42
C_MAS_FL_LLM,19,perf_only,0.0005,20,0.47024608,1925846.0,1387283.1,-0.33018127,0.21603748,0.12725114822387695,0.42077184,2291895.2,1445552.8,0.17458152770996094,42
C_MAS_FL_LLM,20,perf_only,0.0005,20,0.40884686,1685972.6,1169360.8,-0.17873925,0.18912897,0.3311215043067932,0.39928633,2104946.5,1286974.4,0.3037475347518921,42
C_MAS_FL_LLM,21,perf_only,0.0005,20,0.4520368,1544736.4,1077614.2,0.00031974152,0.17328538,0.43849337100982666,0.41287795,1933058.4,1176040.2,0.41281557083129883,42
C_MAS_FL_LLM,22,perf_only,0.0005,20,0.48024032,1533122.1,1080397.8,0.06697277,0.17198251,0.44690507650375366,0.42079347,1927851.5,1170598.6,0.41597455739974976,42
C_MAS_FL_LLM,23,perf_only,0.0005,20,0.47515836,1499508.8,1051374.0,0.09495698,0.16821183,0.47089213132858276,0.4283685,1843332.8,1157164.9,0.46606045961380005,42
C_MAS_FL_LLM,24,perf_only,0.0004,20,0.48528147,1493923.0,1045823.06,0.09415336,0.16758524,0.47482675313949585,0.4109233,1875719.1,1152786.4,0.4471336007118225,42
C_MAS_FL_LLM,25,perf_only,0.0004,20,0.49732426,1451708.9,1012161.25,0.15574624,0.16284974,0.5040872693061829,0.41517276,1795076.5,1110704.0,0.49365031719207764,42
C_MAS_FL_LLM,26,perf_only,0.0005,20,0.49167705,1452265.6,1021719.06,0.13426737,0.16291219,0.5037067830562592,0.40872034,1828216.8,1120802.0,0.47478151321411133,42
C_MAS_FL_LLM,27,perf_only,0.0005,20,0.5007821,1431163.9,1006772.94,0.13379714,0.16054505,0.5180245339870453,0.39158168,1806412.1,1093689.1,0.4872351288795471,42
C_MAS_FL_LLM,28,perf_only,0.0005,20,0.49033198,1422184.1,994781.6,0.13388348,0.15953772,0.5240538120269775,0.40179223,1834296.2,1115357.2,0.4712826609611511,42
C_MAS_FL_LLM,29,perf_only,0.0005,20,0.48048005,1419965.8,991995.9,0.12863415,0.15928887,0.5255374312400818,0.40226153,1847406.5,1114120.5,0.4636978507041931,42
C_MAS_FL_LLM,30,perf_only,0.0005,20,0.49730703,1415132.0,1002032.25,0.13930486,0.15874662,0.5287622213363647,0.3880606,1755126.9,1060307.1,0.515937328338623,42
C_MAS_FL_LLM,31,perf_only,0.0005,20,0.48615035,1392874.6,989320.44,0.12976542,0.15624984,0.5434690415859222,0.39541146,1829544.5,1113169.1,0.474018394947052,42
C_MAS_FL_LLM,32,perf_only,0.0005,20,0.509193,1406716.9,1014895.44,0.15274,0.15780263,0.5343500375747681,0.4122601,1794856.9,1112602.0,0.4937742352485657,42
C_MAS_FL_LLM,33,perf_only,0.0005,20,0.5202483,1432344.0,1032709.94,0.1262153,0.16067743,0.5172293782234192,0.40306392,1850443.6,1121936.5,0.46193307638168335,42
